Symbol,Close,Volume,ADX,RSI,HV,Trend_Score,Stability_Score,Vol_Score,Status,Stability,Confidence,StopLoss_L,StopLoss_H,Target_Put,Target_Call,Passed
FORTIS,952.45,532831,29.16,57.9,26.47,41.67,60.5,43.94,Trending,Stable,49.66,904.83,1000.07,876.25,1028.65,False
AEROFLEX,410.6,520796,16.59,40.55,52.25,66.81,52.75,86.74,Sideways,Stable,65.17,390.07,431.13,377.75,443.45,True
ZEEL,107.4,19249362,25.92,59.1,73.14,48.17,54.5,100.0,Trending,Stable,61.07,102.03,112.77,98.81,115.99,False
RECLTD,355.1,6786498,43.63,51.68,29.96,12.73,91.58,49.73,Trending,Stable,51.67,337.34,372.86,326.69,383.51,False
MRPL,174.49,14972830,22.64,54.05,54.3,54.72,79.75,90.14,Sideways,Stable,71.82,165.77,183.21,160.53,188.45,True
UPL,616.6,1748870,35.16,62.69,28.78,29.68,36.57,47.78,Trending,Volatile,36.06,585.77,647.43,567.27,665.93,False
JSFB,493.0,4230317,15.75,36.28,49.69,68.49,31.4,82.48,Sideways,Volatile,56.45,468.35,517.65,453.56,532.44,False
CYIENTDLM,578.65,684761,99.0,27.83,59.8,0.0,0.0,99.28,Trending,Volatile,19.86,549.72,607.58,532.36,624.94,False
KISSHT,310.65,833481,32.88,41.81,42.8,34.24,59.05,71.05,Trending,Stable,51.52,295.12,326.18,285.8,335.5,False
MOSCHIP,240.1,2011347,24.43,66.58,51.98,51.14,17.11,86.29,Sideways,Volatile,44.56,228.09,252.1,220.89,259.31,False
UNIONBANK,168.46,36352077,25.18,38.85,23.72,49.65,44.24,39.37,Trending,Volatile,45.43,160.04,176.88,154.98,181.94,False
CASTROLIND,184.45,834800,15.74,41.72,17.72,68.51,58.59,29.42,Sideways,Stable,56.73,175.23,193.67,169.69,199.21,True
JSL,737.5,588710,13.23,53.34,17.77,73.55,83.28,29.5,Sideways,Stable,68.63,700.62,774.38,678.5,796.5,True
MVELECTRO,425.0,17538016,29.62,27.83,84.58,40.76,0.0,100.0,Trending,Volatile,36.31,403.75,446.25,391.0,459.0,False
CAMS,751.1,1021324,22.38,42.92,22.09,55.23,64.62,36.67,Sideways,Stable,55.28,713.54,788.66,691.01,811.19,True
BPCL,315.55,11702075,10.74,50.04,20.43,78.51,99.8,33.92,Sideways,Stable,78.11,299.77,331.33,290.31,340.79,True
RBLBANK,368.1,11000604,41.58,41.63,21.45,16.84,58.13,35.61,Trending,Stable,37.11,349.7,386.51,338.65,397.55,False
IBULLSLTD,28.99,3091159,14.83,51.53,51.27,70.35,92.36,85.1,Sideways,Stable,82.1,27.54,30.44,26.67,31.31,True
MANINDS,529.55,188040,39.95,34.54,43.45,20.09,22.69,72.13,Trending,Volatile,31.54,503.07,556.03,487.19,571.91,False
TEJASNET,538.9,1033521,16.64,56.36,41.41,66.73,68.21,68.75,Sideways,Stable,67.72,511.95,565.84,495.79,582.01,True
NHPC,79.2,12119668,38.66,54.63,15.31,22.68,76.87,25.42,Trending,Stable,44.9,75.24,83.16,72.86,85.54,False
KIMS,802.95,354159,19.77,54.75,18.32,60.47,76.27,30.42,Sideways,Stable,60.78,762.8,843.1,738.71,867.19,True
VEDL,253.05,13725150,18.29,37.86,24.17,63.42,39.29,40.12,Sideways,Volatile,49.11,240.4,265.7,232.81,273.29,False
KOPRAN,203.63,133445,27.64,50.53,45.39,44.71,97.37,75.35,Trending,Stable,71.9,193.45,213.81,187.34,219.92,False
GOLDIETF,119.89,6031636,35.08,32.59,15.52,29.84,12.96,25.77,Trending,Volatile,22.27,113.9,125.88,110.3,129.48,False
OIL,435.35,9434807,12.07,37.7,26.45,75.86,38.49,43.9,Sideways,Volatile,54.52,413.58,457.12,400.52,470.18,False
FCL,38.75,13903646,19.62,38.34,51.29,60.75,41.72,85.15,Sideways,Volatile,58.02,36.81,40.69,35.65,41.85,False
GRANULES,880.8,545107,14.17,57.51,26.62,71.66,62.43,44.19,Sideways,Stable,62.47,836.76,924.84,810.34,951.26,True
SHREEJISPG,596.3,1473268,21.17,36.73,43.95,57.67,33.67,72.95,Sideways,Volatile,51.13,566.48,626.12,548.6,644.0,False
JKPAPER,369.55,441951,13.99,38.62,35.31,72.01,43.11,58.62,Sideways,Volatile,57.77,351.07,388.03,339.99,399.11,False
SHILPAMED,620.25,413962,55.8,30.81,52.92,0.0,4.03,87.84,Trending,Volatile,19.18,589.24,651.26,570.63,669.87,False
PNCINFRA,245.27,355467,41.01,67.03,51.35,17.98,14.86,85.24,Trending,Volatile,30.19,233.01,257.53,225.65,264.89,False
HINDPETRO,400.4,8657829,23.58,60.25,28.5,52.83,48.75,47.32,Sideways,Volatile,50.1,380.38,420.42,368.37,432.43,False
IOC,141.69,13180933,15.42,54.0,19.29,69.17,80.02,32.02,Sideways,Stable,66.08,134.61,148.77,130.35,153.03,True
CCAVENUE,17.06,7314919,25.8,57.61,51.83,48.4,61.97,86.05,Trending,Stable,61.36,16.21,17.91,15.7,18.42,False
HSCL,741.55,18133649,44.72,48.19,35.63,10.57,90.94,59.15,Trending,Stable,52.43,704.47,778.63,682.23,800.87,False
ASTEC,690.75,11906,14.13,65.23,26.47,71.73,23.83,43.95,Sideways,Volatile,47.01,656.21,725.29,635.49,746.01,False
TATSILV,20.81,33542248,23.61,37.37,22.81,52.78,36.84,37.86,Sideways,Volatile,43.42,19.77,21.85,19.15,22.47,False
PARAGMILK,223.73,270610,21.2,47.76,34.68,57.61,88.79,57.57,Sideways,Stable,70.07,212.54,234.92,205.83,241.63,True
NORTHARC,301.6,849784,17.9,55.68,26.3,64.19,71.6,43.65,Sideways,Stable,63.05,286.52,316.68,277.47,325.73,True
EMMVEE,345.05,2436414,14.67,63.09,32.26,70.65,34.56,53.56,Sideways,Volatile,52.8,327.8,362.3,317.45,372.65,False
AEQUS,228.38,6822694,21.99,44.94,40.96,56.01,74.71,67.99,Sideways,Stable,65.88,216.96,239.8,210.11,246.65,True
EDELWEISS,118.85,2570900,9.17,48.19,29.44,81.66,90.95,48.87,Sideways,Stable,78.82,112.91,124.79,109.34,128.36,True
